# r/Å                 g(r)         N(r)
2.915000         0.842513     5.015941
2.925000         0.864667     5.077791
2.935000         0.910114     5.143339
2.945000         0.952269     5.212390
2.955000         0.984408     5.284258
2.965000         1.022908     5.359443
2.975000         1.051134     5.437224
2.985000         1.075913     5.517375
2.995000         1.113755     5.600902
3.005000         1.173756     5.689518
3.015000         1.223272     5.782487
3.025000         1.262038     5.879040
3.035000         1.299343     5.979106
3.045000         1.332130     6.082373
3.055000         1.354406     6.188059
3.065000         1.372872     6.295887
3.075000         1.422740     6.408363
3.085000         1.471154     6.525424
3.095000         1.475472     6.643591
3.105000         1.488484     6.763571
3.115000         1.529798     6.887677
3.125000         1.528887     7.012507
3.135000         1.531718     7.138370
3.145000         1.568824     7.268106
3.155000         1.590307     7.400455
3.165000         1.602885     7.534699
3.175000         1.596513     7.669255
3.185000         1.623447     7.806944
3.195000         1.637395     7.946690
3.205000         1.676937     8.090707
3.215000         1.702413     8.237827
3.225000         1.687844     8.384596
3.235000         1.653190     8.529245
3.245000         1.651195     8.674614
3.255000         1.642086     8.820073
3.265000         1.647835     8.966939
3.275000         1.612207     9.111512
3.285000         1.600331     9.255898
3.295000         1.590746     9.400294
3.305000         1.566131     9.543319
3.315000         1.563463     9.686967
3.325000         1.568907     9.831985
3.335000         1.536385     9.974853
3.345000         1.537602    10.118693
3.355000         1.544350    10.264030
3.365000         1.516449    10.407592
3.375000         1.503549    10.550781
3.385000         1.500360    10.694513
3.395000         1.489888    10.838088
3.405000         1.455655    10.979190
3.415000         1.443153    11.119904
3.425000         1.426235    11.259784
3.435000         1.401415    11.398034
3.445000         1.384015    11.535363
3.455000         1.358186    11.670912
3.465000         1.340290    11.805451
3.475000         1.329412    11.939670
3.485000         1.322560    12.073966
3.495000         1.302367    12.206972
3.505000         1.296610    12.340149
3.515000         1.277129    12.472074
3.525000         1.255440    12.602498
3.535000         1.244095    12.732478
3.545000         1.227031    12.861401
3.555000         1.211749    12.989438
3.565000         1.206541    13.117643
3.575000         1.169658    13.242627
3.585000         1.154725    13.366706
3.595000         1.166083    13.492706
3.605000         1.173348    13.620197
3.615000         1.140703    13.744830
3.625000         1.105674    13.866305
3.635000         1.089448    13.986658
3.645000         1.090511    14.107793
3.655000         1.075512    14.227918
3.665000         1.081186    14.349338
3.675000         1.060695    14.469108
3.685000         1.055897    14.588987
3.695000         1.044850    14.708255
3.705000         1.048722    14.828614
3.715000         1.044939    14.949188
3.725000         1.030092    15.068689
3.735000         1.035035    15.189409
3.745000         1.036346    15.310930
3.755000         1.019360    15.431098
3.765000         1.010180    15.550820
3.775000         1.012437    15.671447
3.785000         1.011368    15.792586
3.795000         1.003148    15.913376
3.805000         0.989515    16.033154
3.815000         0.983946    16.152884
3.825000         0.960224    16.270341
3.835000         0.961076    16.388517
3.845000         0.974812    16.509009
3.855000         0.970729    16.629621
3.865000         0.964977    16.750141
3.875000         0.956537    16.870225
3.885000         0.967821    16.992355
3.895000         0.967323    17.115051
3.905000         0.957819    17.237165
3.915000         0.956880    17.359786
3.925000         0.955828    17.482899
3.935000         0.970820    17.608580
3.945000         0.982866    17.736469
3.955000         0.964934    17.862661
3.965000         0.952688    17.987883
3.975000         0.943532    18.112528
3.985000         0.972446    18.241639
3.995000         0.959111    18.369620
4.005000         0.954387    18.497609
4.015000         0.949830    18.625624
4.025000         0.952172    18.754595
4.035000         0.959657    18.885226
4.045000         0.953242    19.015627
4.055000         0.948160    19.145976
4.065000         0.953360    19.277687
4.075000         0.948986    19.409439
4.085000         0.955811    19.542791
4.095000         0.957471    19.677029
4.105000         0.952111    19.811169
4.115000         0.954517    19.946303
4.125000         0.961415    20.083077
4.135000         0.959322    20.220215
4.145000         0.967893    20.359248
4.155000         0.971642    20.499495
4.165000         0.981103    20.641789
4.175000         0.971235    20.783329
4.185000         0.957923    20.923599
4.195000         0.958515    21.064627
4.205000         0.961483    21.206768
4.215000         0.964655    21.350056
4.225000         0.956003    21.492733
4.235000         0.973884    21.638768
4.245000         0.970243    21.784945
4.255000         0.969980    21.931772
4.265000         0.958855    22.077598
4.275000         0.953020    22.223217
4.285000         0.968590    22.371907
4.295000         0.945678    22.517760
4.305000         0.942591    22.663813
4.315000         0.955689    22.812585
4.325000         0.967065    22.963827
4.335000         0.977812    23.117457
4.345000         0.959871    23.268965
4.355000         0.956823    23.420688
4.365000         0.960617    23.573713
4.375000         0.955272    23.726584
4.385000         0.959052    23.880763
4.395000         0.959125    24.035657
4.405000         0.974091    24.193685
4.415000         0.961630    24.350401
4.425000         0.961575    24.507818
4.435000         0.950713    24.664162
4.445000         0.942252    24.819814
4.455000         0.951913    24.977769
4.465000         0.967619    25.139053
4.475000         0.963895    25.300436
4.485000         0.960183    25.461918
4.495000         0.983632    25.628081
4.505000         0.990085    25.796079
4.515000         0.987291    25.964348
4.525000         0.981526    26.132376
4.535000         0.969571    26.299092
4.545000         0.959039    26.464725
4.555000         0.950502    26.629607
4.565000         0.962367    26.797281
4.575000         0.964991    26.966150
4.585000         0.967221    27.136149
4.595000         0.963461    27.306227
4.605000         0.978511    27.479714
4.615000         0.976172    27.653540
4.625000         0.980160    27.828832
4.635000         0.995722    28.007679
4.645000         0.990167    28.186296
4.655000         0.988957    28.365463
4.665000         0.995144    28.546527
4.675000         0.990936    28.727600
4.685000         0.994182    28.910043
4.695000         0.990431    29.092575
4.705000         0.990125    29.275828
4.715000         0.985666    29.459033
4.725000         1.001921    29.646050
4.735000         0.999641    29.833431
4.745000         1.004907    30.022596
4.755000         1.005777    30.212724
4.765000         0.990440    30.400741
4.775000         0.998248    30.591037
4.785000         1.005596    30.783536
4.795000         1.014679    30.978588
4.805000         1.020115    31.175503
4.815000         1.020809    31.373373
4.825000         1.020677    31.572040
4.835000         1.024540    31.772287
4.845000         1.025612    31.973573
4.855000         1.020220    32.174628
4.865000         1.038074    32.380045
4.875000         1.029507    32.584605
4.885000         1.016062    32.787323
4.895000         1.029253    32.993515
4.905000         1.035902    33.201887
4.915000         1.034764    33.410880
4.925000         1.026277    33.619003
4.935000         1.042104    33.831194
4.945000         1.051334    34.046134
4.955000         1.024355    34.256405
4.965000         1.021714    34.466982
4.975000         1.021823    34.678431
4.985000         1.006428    34.887532
4.995000         1.013475    35.098942
5.005000         1.038503    35.316442
5.015000         1.031874    35.533418
5.025000         1.029461    35.750751
5.035000         1.026351    35.968290
5.045000         1.026941    36.186820
5.055000         1.040662    36.409149
5.065000         1.020279    36.627986
5.075000         1.021710    36.847996
5.085000         1.023206    37.069197
5.095000         1.028640    37.292449
5.105000         1.027036    37.516229
5.115000         1.024543    37.740340
5.125000         1.019284    37.964174
5.135000         1.023160    38.189737
5.145000         1.025423    38.416680
5.155000         1.032207    38.646013
5.165000         1.021623    38.873876
5.175000         1.023385    39.103017
5.185000         1.025867    39.333603
5.195000         1.017367    39.563160
5.205000         1.013152    39.792648
5.215000         1.009979    40.022296
5.225000         1.014466    40.253851
5.235000         1.010357    40.485351
5.245000         1.019061    40.719738
5.255000         1.026319    40.956696
5.265000         1.018502    41.192745
5.275000         1.025683    41.431362
5.285000         1.029383    41.671748
5.295000         1.034675    41.914285
5.305000         1.029172    42.156445
5.315000         1.038181    42.401646
5.325000         1.042348    42.648759
5.335000         1.034160    42.894852
5.345000         1.023332    43.139282
5.355000         1.013185    43.382195
5.365000         1.018345    43.627258
5.375000         1.023789    43.874550
5.385000         1.012387    44.119999
5.395000         1.009680    44.365702
5.405000         1.013232    44.613183
5.415000         1.012644    44.861438
5.425000         1.024903    45.113626
5.435000         1.014757    45.364240
5.445000         1.017460    45.616446
5.455000         1.031141    45.872983
5.465000         1.047176    46.134466
5.475000         1.039283    46.394928
5.485000         1.030156    46.654047
5.495000         1.019026    46.911302
5.505000         1.023764    47.170695
5.515000         1.019288    47.429892
5.525000         1.023981    47.691228
5.535000         1.013453    47.950814
5.545000         1.018923    48.212746
5.555000         1.018150    48.475423
5.565000         1.006428    48.736012
5.575000         1.002497    48.996517
5.585000         0.995751    49.256198
5.595000         1.011078    49.520821
5.605000         1.023704    49.789707
5.615000         1.019350    50.058406
5.625000         1.025156    50.329599
5.635000         1.018133    50.599892
5.645000         1.018469    50.871235
5.655000         1.014969    51.142604
5.665000         1.008181    51.413113
5.675000         1.006908    51.684235
5.685000         1.008756    51.956812
5.695000         0.993518    52.226218
5.705000         0.997625    52.497688
5.715000         1.005264    52.772196
5.725000         1.011601    53.049402
5.735000         1.011798    53.327632
5.745000         1.022082    53.609671
5.755000         1.009861    53.889308
5.765000         1.009871    54.169921
5.775000         1.010650    54.451725
5.785000         0.990236    54.728795
5.795000         0.987527    55.006062
5.805000         0.995656    55.286578
5.815000         0.999292    55.569088
5.825000         1.004152    55.853950
5.835000         0.997886    56.138007
5.845000         0.993991    56.421926
5.855000         0.989372    56.705494
5.865000         0.993705    56.991277
5.875000         0.989945    57.276950
5.885000         0.991131    57.563940
5.895000         0.991490    57.852011
5.905000         0.990103    58.140655
5.915000         0.993280    58.431207
5.925000         0.991702    58.722280
5.935000         0.992915    59.014692
5.945000         0.985490    59.305897
5.955000         0.983231    59.597413
5.965000         0.968184    59.885433
5.975000         0.962445    60.172706
5.985000         0.961735    60.460728
5.995000         0.967675    60.751499
6.005000         0.971127    61.044282
6.015000         0.962610    61.335464
6.025000         0.957395    61.626032
6.035000         0.957517    61.917603
6.045000         0.965178    62.212481
6.055000         0.958136    62.506178
6.065000         0.955161    62.799930
6.075000         0.952985    63.093980
6.085000         0.953685    63.389216
6.095000         0.949375    63.684084
6.105000         0.956878    63.982259
6.115000         0.951129    64.279614
6.125000         0.950289    64.577679
6.135000         0.959125    64.879498
6.145000         0.954573    65.180865
6.155000         0.955470    65.483498
6.165000         0.950987    65.785691
6.175000         0.955958    66.090449
6.185000         0.964708    66.398994
6.195000         0.956587    66.705931
6.205000         0.949771    67.011667
6.215000         0.946858    67.317447
6.225000         0.954161    67.626579
6.235000         0.958796    67.938211
6.245000         0.958549    68.250763
6.255000         0.958014    68.564141
6.265000         0.956982    68.878184
6.275000         0.957746    69.193482
6.285000         0.958251    69.509952
6.295000         0.949909    69.824666
6.305000         0.940802    70.137354
6.315000         0.933301    70.448534
6.325000         0.923668    70.757479
6.335000         0.923369    71.067300
6.345000         0.941874    71.384329
6.355000         0.948664    71.704651
6.365000         0.955840    72.028412
6.375000         0.955257    72.352993
6.385000         0.962425    72.681037
6.395000         0.959267    73.009029
6.405000         0.962279    73.339081
6.415000         0.954836    73.667604
6.425000         0.953105    73.996554
6.435000         0.953608    74.326703
6.445000         0.949585    74.656481
6.455000         0.958623    74.990433
6.465000         0.958137    75.325250
6.475000         0.962915    75.662778
6.485000         0.961503    76.000854
